0	NoCut	1.39e+09	8.74e+07	15.933
1	MET-Filter	1.38e+09	1.30e+07	106.471
2	Electron-Trigger	6.25e+08	4.25e+05	1472.111
3	N(FatJet)=1	1.04e+06	2.88e+05	3.609
4	$N_{IsoAddjet}\leq2$	7.43e+05	1.20e+05	6.216
5	$N_{IsoLooseBtagjet}=1$	2.42e+05	9.35e+04	2.586
6	$N_{e}=1$ and $N_{\mu}=0$	1.15e+05	6.94e+04	1.660
7	$p_{T}^{miss}>50$GeV	7.89e+04	2.17e+04	3.632
8	Recoil$>250$GeV	2.34e+04	2.17e+04	1.077
9	$N_{tau}=0$	2.30e+04	2.15e+04	1.070
10	$N_{\gamma}=0$	2.28e+04	2.14e+04	1.067
11	HEM-veto	2.01e+04	2.01e+04	1.001
