0	NoCut	2.74e+08	6.99e+07	3.923
1	MET-Trigger	1.45e+08	1.10e+07	13.218
2	Electron-Trigger	8.41e+05	5.63e+05	1.494
3	N(FatJet)=1	1.01e+05	7.32e+04	1.383
4	$N_{IsoAddjet}\leq2$	7.45e+04	5.39e+04	1.382
5	$N_{IsoLooseBtagjet}=1$	2.40e+04	1.86e+04	1.291
6	$N_{e}=1$	1.39e+04	1.36e+04	1.020
7	$p_{T}^{miss}>50$GeV	1.37e+04	1.35e+04	1.010
8	Recoil$>250$GeV	9.36e+03	9.28e+03	1.008
9	MET-Filter	9.35e+03	9.28e+03	1.008
10	$N_{tau}=0$	9.18e+03	9.19e+03	0.999
11	$N_{\gamma}=0$	9.11e+03	9.15e+03	0.996
12	HEM-veto	8.88e+03	8.86e+03	1.002
